ProductName,Version,OEM,SeverityLevel,Vulnerability,MitigationStrategy,PublishedDate,UniqueID
NVIDIA® CUDA Toolkit - August 2024,N/A,NVIDIA,Medium,"CVE-2024-0109, CVE-2024-0110, CVE-2024-0111",https://nvidia.custhelp.com/app/answers/detail/a_id/5564,29 Aug 2024,29 Aug 2024
"NVIDIA® Mellanox OS, ONYX, Skyway, MetroX - August 2024",N/A,NVIDIA,High,CVE-2024-0113,https://nvidia.custhelp.com/app/answers/detail/a_id/5563,7 Aug 2024,7 Aug 2024
NVIDIA® CV-CUDA - August 2024,N/A,NVIDIA,Medium,CVE-2024-0115,https://nvidia.custhelp.com/app/answers/detail/a_id/5560,7 Aug 2024,7 Aug 2024
"NVIDIA® Mellanox OS, ONYX, Skyway, MetroX-3 XC - July 2024",N/A,NVIDIA,High,"CVE-2024-0101, CVE-2024-0104",https://nvidia.custhelp.com/app/answers/detail/a_id/5559,23 Jul 2024,23 Jul 2024
"NVIDIA® Jetson AGX Xavier Series, Jetson Xavier NX, Jetson TX1, Jetson TX2 Series (including Jetson TX2 NX), and Jetson Nano (including Jetson Nano 2GB) - July 2024",N/A,NVIDIA,High,CVE-2024-0108,https://nvidia.custhelp.com/app/answers/detail/a_id/5555,23 Jul 2024,23 Jul 2024
NVIDIA® CUDA Toolkit - July 2024,N/A,NVIDIA,Low,CVE-2024-0102,https://nvidia.custhelp.com/app/answers/detail/a_id/5548,11 Jul 2024,11 Jul 2024
NVIDIA® GPU Display Driver - July 2024,N/A,NVIDIA,High,CVE-2024-0107,https://nvidia.custhelp.com/app/answers/detail/a_id/5557,9 Jul 2024,9 Jul 2024
NVIDIA® GPU Display Driver - June 2024,N/A,NVIDIA,High,"CVE-2024-0084, CVE-2024-0085, CVE-2024-0086, CVE-2024-0089, CVE-2024-0090, CVE-2024-0091, CVE-2024-0092, CVE-2024-0093, CVE-2024-0094,CVE-2024-0099",https://nvidia.custhelp.com/app/answers/detail/a_id/5551,6 Jun 2024,6 Jun 2024
NVIDIA® Triton Inference Server - May 2024,N/A,NVIDIA,Medium,"CVE-2024-0095, CVE-2024-0103",https://nvidia.custhelp.com/app/answers/detail/a_id/5546,29 May 2024,29 May 2024
NVIDIA® ChatRTX - May 2024,N/A,NVIDIA,High,"CVE-2024-0096, CVE-2024-0097, CVE-2024-0098",https://nvidia.custhelp.com/app/answers/detail/a_id/5533,01 May 2024,01 May 2024
NVIDIA® Triton Inference Server - April 2024,N/A,NVIDIA,Critical,"CVE-2024-0087, CVE-2024-0088, CVE-2024-0100",https://nvidia.custhelp.com/app/answers/detail/a_id/5535,01 May 2024,01 May 2024
NVIDIA® CUDA Toolkit - April 2024,N/A,NVIDIA,Low,"CVE-2023-31028, CVE-2024-0072, CVE-2024-0076, CVE-2024-0080",https://nvidia.custhelp.com/app/answers/detail/a_id/5517,03 Apr 2024,03 Apr 2024
NVIDIA® ChatRTX - March 2024,N/A,NVIDIA,High,"CVE-2024-0082, CVE-2024-0083",https://nvidia.custhelp.com/app/answers/detail/a_id/5532,26 Mar 2024,26 Mar 2024
NVIDIA® GPU Display Driver - February 2024,N/A,NVIDIA,High,"CVE-2024-0071, CVE-2024-0073, CVE-2024-0074, CVE-2024-0078, CVE-2024-0075, CVE-2022-42265, CVE-2024-0077, CVE-2024-0079",https://nvidia.custhelp.com/app/answers/detail/a_id/5520,28 Feb 2024,28 Feb 2024
NVIDIA® DGX Station A100 and DGX Station A800 - February 2024,N/A,NVIDIA,High,"CVE-2022-42271, CVE-2022-42272, CVE-2022-42273, CVE-2022-42274, CVE-2022-42275, CVE-2022-42279, CVE-2022-42280, CVE-2022-42282, CVE-2022-42283, CVE-2022-42284, CVE-2022-42287, CVE-2022-42288, CVE-2022-42289, CVE-2022-42290, CVE-2023-25521, CVE-2023-31031, CVE-2023-31032, CVE-2023-31034",https://nvidia.custhelp.com/app/answers/detail/a_id/5513,08 Feb 2024,08 Feb 2024
NVIDIA® BlueField 2 and 3 BMC - January 2024,N/A,NVIDIA,High,CVE-2023-31037,https://nvidia.custhelp.com/app/answers/detail/a_id/5511,22 Jan 2024,22 Jan 2024
NVIDIA® DGX H100 and A100 - January 2024,N/A,NVIDIA,Critical,"CVE-2023-25529, CVE-2023-25530, CVE-2023-31024, CVE-2023-31025, CVE-2023-31029, CVE-2023-31030, CVE-2023-31031, CVE-2023-31032, CVE-2023-31033, CVE-2023-31034, CVE-2023-31035",https://nvidia.custhelp.com/app/answers/detail/a_id/5510,11 Jan 2024,11 Jan 2024
NVIDIA® Triton Inference Server - December 2023,N/A,NVIDIA,High,CVE-2023-31036,https://nvidia.custhelp.com/app/answers/detail/a_id/5509,19 Dec 2023,19 Dec 2023
Security Notice: Triton Inference Server - November 2023,N/A,NVIDIA,N/A,N/A,https://nvidia.custhelp.com/app/answers/detail/a_id/5493,30 Nov 2023,30 Nov 2023
NVIDIA® GPU Display Driver - October 2023,N/A,NVIDIA,High,"CVE-2023-31016, CVE-2023-31017, CVE-2023-31018, CVE-2023-31019, CVE-2023-31020, CVE-2023-31021, CVE-2023-31022, CVE-2023-31023, CVE-2023-31026, CVE-2023-31027",https://nvidia.custhelp.com/app/answers/detail/a_id/5491,31 Oct 2023,31 Oct 2023
NVIDIA® Cumulus Linux - September 2023,N/A,NVIDIA,High,"CVE-2023-25525, CVE-2023-25526",https://nvidia.custhelp.com/app/answers/detail/a_id/5480,06 Sep 2023,06 Sep 2023
NVIDIA® BlueField Data Processing Unit - September 2023,N/A,NVIDIA,High,CVE-2023-25519,https://nvidia.custhelp.com/app/answers/detail/a_id/5479,06 Sep 2023,06 Sep 2023
NVIDIA® GeForce Now for Android - August 2023,N/A,NVIDIA,Medium,CVE-2023-31014,https://nvidia.custhelp.com/app/answers/detail/a_id/5476,28 Aug 2023,28 Aug 2023
NVIDIA® DGX H100 - August 2023,N/A,NVIDIA,High,"CVE-2023-25527, CVE-2023-25528, CVE-2023-25529, CVE-2023-25530, CVE-2023-25531, CVE-2023-25532, CVE-2023-25533, CVE-2023-31008, CVE-2023-31009, CVE-2023-31010, CVE-2023-31011, CVE-2023-31012, CVE-2023-31013, CVE-2023-31015",https://nvidia.custhelp.com/app/answers/detail/a_id/5473,28 Aug 2023,28 Aug 2023
NVIDIA® Omniverse Launcher - August 2023,N/A,NVIDIA,Medium,CVE-2023-25524,https://nvidia.custhelp.com/app/answers/detail/a_id/5472,03 Aug 2023,03 Aug 2023
NVIDIA® DGX A100 and DGX A800 - June 2023,N/A,NVIDIA,High,"CVE-2023-25521, CVE-2023-25522",https://nvidia.custhelp.com/app/answers/detail/a_id/5461,30 Jun 2023,30 Jun 2023
NVIDIA® CUDA Toolkit - June 2023,N/A,NVIDIA,Low,CVE-2023-25523,https://nvidia.custhelp.com/app/answers/detail/a_id/5469,29 Jun 2023,29 Jun 2023
NVIDIA® GPU Display Driver - June 2023,N/A,NVIDIA,High,"CVE-2022-34671, CVE-2023-25515, CVE-2023-25516, CVE-2023-25517",https://nvidia.custhelp.com/app/answers/detail/a_id/5468,26 Jun 2023,26 Jun 2023
NVIDIA® Jetson - June 2023,N/A,NVIDIA,High,"CVE-2023-25518, CVE-2023-25520",https://nvidia.custhelp.com/app/answers/detail/a_id/5466,23 Jun 2023,23 Jun 2023
